title,year,language,primary_genre,genres,director,lead_actor,has_love_triangle,review_notes
Johny Mera Naam,1970,Hindi,Action,"Action, Crime, Drama, Romance, Musical",Vijay Anand,Dev Anand,True,Verify if romance subplot is significant enough to tag as has_romance
Jaanbaaz,1986,Hindi,Action,"Action, Crime, Drama, Romance",Feroz Khan,Anil Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Shree 420,1955,Hindi,Comedy,"Comedy, Drama, Romance, Musical",Raj Kapoor,Raj Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Awara,1951,Hindi,Drama,"Drama, Romance, Crime, Musical",Raj Kapoor,Raj Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Mera Naam Joker,1970,Hindi,Drama,"Drama, Musical, Romance",Raj Kapoor,Raj Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Puthiya Mugham,1990,Tamil,Drama,"Drama, Romance",Shekar,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Donga Ramudu,1955,Telugu,action,"action, drama, adventure, romance",C. Pullaiah,N.T. Rama Rao,True,Verify if romance subplot is significant enough to tag as has_romance
Nadodi Mannan,1958,Tamil,action,"action, adventure, romance, drama, musical, fantasy",M. A. Thirumugam,M. G. Ramachandran,True,Verify if romance subplot is significant enough to tag as has_romance
Sholay,1975,Hindi,action,"action, adventure, drama, comedy, romance, thriller",Ramesh Sippy,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Amar Akbar Anthony,1977,Hindi,action,"action, comedy, drama, family, musical, romance",Manmohan Desai,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Aadu Puli Attam,1977,Tamil,action,"action, romance, drama, comedy",S. P. Muthuraman,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Dharam Veer,1977,Hindi,action,"action, adventure, fantasy, romance, musical, family",Manmohan Desai,Dharmendra,False,Verify if romance subplot is significant enough to tag as has_romance
Parvarish,1977,Hindi,action,"action, drama, family, comedy, romance",Manmohan Desai,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Bairavi,1978,Tamil,action,"action, drama, romance",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
