id,title,year,language,era,director,lead_actor,lead_gender,imdb_rating,has_action,has_comedy,has_romance,has_songs,has_villain,has_thriller_elements,has_social_message,is_anti_hero,is_family_film,is_based_on_true_story,is_biographical,is_franchise,is_remake,is_sports_film,is_historical,is_horror,is_sci_fi,is_pan_india_blockbuster
tt0048473,Pather Panchali,1955,hindi,classic,Satyajit Ray,,male,8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0048956,Aparajito,1956,hindi,classic,Satyajit Ray,,male,8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0052572,Apur Sansar,1959,hindi,classic,Satyajit Ray,,male,8.4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
mughal_e_azam_1960,Mughal-E-Azam,1960,hindi,classic,K. Asif,Dilip Kumar,male,8.1,True,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
tt0066763,Anand,1971,hindi,classic,Hrishikesh Mukherjee,,male,8.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
sholay_1975,Sholay,1975,hindi,classic,Ramesh Sippy,Amitabh Bachchan,male,8.1,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
tt0079221,Gol Maal,1979,hindi,classic,Hrishikesh Mukherjee,,male,8.5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0083987,Gandhi,1982,hindi,classic,Richard Attenborough,,male,8.0,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True
tt0085743,Jaane Bhi Do Yaaro,1983,hindi,classic,Kundan Shah,,male,8.3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0093578,Mr. India,1987,hindi,classic,Shekhar Kapur,,male,7.7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0104561,Jo Jeeta Wohi Sikandar,1992,hindi,90s,Mansoor Khan,,male,8.1,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
tt0106333,Baazigar,1993,hindi,90s,Abbas Alibhai Burmawalla,,male,7.6,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt0109555,Darr,1993,hindi,90s,Yash Chopra,,male,7.6,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt0110222,Kabhi Haan Kabhi Naa,1993,hindi,90s,Kundan Shah,,male,7.6,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
andaz_apna_apna_1994,Andaz Apna Apna,1994,hindi,90s,Rajkumar Santoshi,Aamir Khan,male,8.0,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
tt0110076,Hum Aapke Hain Koun..!,1994,hindi,90s,Sooraj R. Barjatya,,male,7.5,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ddlj_1995,Dilwale Dulhania Le Jayenge,1995,hindi,90s,Aditya Chopra,Shah Rukh Khan,male,8.1,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
tt0113526,Karan Arjun,1995,hindi,90s,Rakesh Roshan,,male,6.8,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0118983,Dil To Pagal Hai,1997,hindi,90s,Yash Chopra,,male,7.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0118751,Border,1997,hindi,90s,J. P. Dutta,,male,8.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0119861,Pardes,1997,hindi,90s,Subhash Ghai,,male,6.9,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0120540,Yes Boss,1997,hindi,90s,Aziz Mirza,,male,6.7,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0172684,Kuch Kuch Hota Hai,1998,hindi,90s,Karan Johar,,male,7.5,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0164538,Dil Se..,1998,hindi,90s,Mani Ratnam,,male,7.5,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
tt0195231,Satya,1998,hindi,90s,Ram Gopal Varma,,male,8.2,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt0200087,Sarfarosh,1999,hindi,90s,John Matthew Matthan,,male,8.1,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0211934,Baadshah,1999,hindi,90s,Abbas Alibhai Burmawalla,,male,6.9,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0150992,Hum Dil De Chuke Sanam,1999,hindi,90s,Sanjay Leela Bhansali,,male,7.4,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0220832,Vaastav: The Reality,1999,hindi,90s,Mahesh Manjrekar,,male,8.0,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
hera_pheri_2000,Hera Pheri,2000,hindi,2000s,Priyadarshan,Akshay Kumar,male,8.2,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
tt0213890,Mohabbatein,2000,hindi,2000s,Aditya Chopra,,male,7.1,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0234000,Kaho Naa... Pyaar Hai,2000,hindi,2000s,Rakesh Roshan,,male,6.9,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0222012,Hey Ram,2000,hindi,2000s,Kamal Haasan,,male,8.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
dil_chahta_hai_2001,Dil Chahta Hai,2001,hindi,2000s,Farhan Akhtar,Aamir Khan,male,8.1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lagaan_2001,Lagaan,2001,hindi,2000s,Ashutosh Gowariker,Aamir Khan,male,8.1,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False
